va	mangled	size	code	class	name
0053A7A0	?CalcRoute@aiMap@@QAEXABVMatrix34@@ABVVector3@@1PAF2FF_N@Z	3520	1	aiMap	CalcRoute
0053B560	?AddRoutingNode@aiMap@@QAEXH@Z	112	1	aiMap	AddRoutingNode
0053B5D0	?RemoveRoutingNode@aiMap@@QAEXH@Z	112	1	aiMap	RemoveRoutingNode
0053B640	?AddPlayer@aiMap@@QAEHPAVvehCar@@@Z	192	1	aiMap	AddPlayer
0053B700	?RemovePlayer@aiMap@@QAEHPAVvehCar@@@Z	176	1	aiMap	RemovePlayer
0053B7B0	?SetWaypoints@aiMap@@QAEXPAVVector4@@HH@Z	176	1	aiMap	SetWaypoints
0053B860	?DrawFinalCheckPoint@aiMap@@QAEXXZ	16	1	aiMap	DrawFinalCheckPoint
0053B870	?TestProbes@aiMap@@QAEXH@Z	1024	1	aiMap	TestProbes
0053BC70	??_GaiMap@@UAEPAXI@Z	48	1	aiMap	`scalar deleting destructor'
0053BCA0	??_EaiVehicleAmbient@@QAEPAXI@Z	96	1	aiVehicleAmbient	`vector deleting destructor'
0053BD00	??_EaiPoliceOfficer@@QAEPAXI@Z	96	1	aiPoliceOfficer	`vector deleting destructor'
0053BD60	??_EaiRouteRacer@@QAEPAXI@Z	96	1	aiRouteRacer	`vector deleting destructor'
0053BDC0	??_EaiPedestrian@@QAEPAXI@Z	96	1	aiPedestrian	`vector deleting destructor'
0053BE20	??_EmcHookman@@QAEPAXI@Z	96	1	mcHookman	`vector deleting destructor'
0053BE80	??_ECArrayList@@QAEPAXI@Z	96	1	CArrayList	`vector deleting destructor'
0053BEE0	??_EaiSubway@@QAEPAXI@Z	96	1	aiSubway	`vector deleting destructor'
0053BF40	??_EaiCableCar@@QAEPAXI@Z	96	1	aiCableCar	`vector deleting destructor'
0053BFA0	??_EaiCTFRacer@@UAEPAXI@Z	96	1	aiCTFRacer	`vector deleting destructor'
0053C000	?Road@aiIntersection@@QAEPAVaiPath@@H@Z	48	1	aiIntersection	Road
0053C030	??0CArrayList@@QAE@XZ	16	1	CArrayList	CArrayList
0053C040	??0aiTrafficLightSet@@QAE@PAVaiIntersection@@@Z	320	1	aiTrafficLightSet	aiTrafficLightSet
0053C180	?SetFourWay@aiTrafficLightSet@@QAEXXZ	704	1	aiTrafficLightSet	SetFourWay
0053C440	??1aiTrafficLightSet@@UAE@XZ	32	1	aiTrafficLightSet	~aiTrafficLightSet
0053C460	?Reset@aiTrafficLightSet@@UAEXXZ	80	1	aiTrafficLightSet	Reset
0053C4B0	?Update@aiTrafficLightSet@@UAEXXZ	576	1	aiTrafficLightSet	Update
0053C6F0	?Init@aiTrafficLightInstance@@UAEHPADAAVVector3@@1H0@Z	624	1	aiTrafficLightInstance	Init
0053C960	?Draw@aiTrafficLightInstance@@UAEXH@Z	272	1	aiTrafficLightInstance	Draw
0053CA70	?DrawGlow@aiTrafficLightInstance@@UAEXXZ	688	1	aiTrafficLightInstance	DrawGlow
0053CD20	??_GaiTrafficLightSet@@UAEPAXI@Z	48	1	aiTrafficLightSet	`scalar deleting destructor'
0053CD50	?SizeOf@aiTrafficLightInstance@@UAEIXZ	16	1	aiTrafficLightInstance	SizeOf
0053CD60	??0aiPedAudio@@QAE@XZ	32	1	aiPedAudio	aiPedAudio
0053CD80	??1aiPedAudio@@UAE@XZ	16	1	aiPedAudio	~aiPedAudio
0053CD90	?LoadFemaleVoices@aiPedAudio@@QAE_NPAD_N@Z	112	1	aiPedAudio	LoadFemaleVoices
0053CE00	?LoadMaleVoices@aiPedAudio@@QAE_NPAD_N@Z	112	1	aiPedAudio	LoadMaleVoices
0053CE70	?SetCSVCatString@aiPedAudio@@SAXPAD@Z	48	1	aiPedAudio	SetCSVCatString
0053CEA0	?LoadNumFemaleChoices@aiPedAudio@@SAXPAD@Z	64	1	aiPedAudio	LoadNumFemaleChoices
0053CEE0	?LoadNumMaleChoices@aiPedAudio@@SAXPAD@Z	352	1	aiPedAudio	LoadNumMaleChoices
0053D040	??0aiRouteRacer@@QAE@XZ	16	1	aiRouteRacer	aiRouteRacer
0053D050	??1aiRouteRacer@@QAE@XZ	16	1	aiRouteRacer	~aiRouteRacer
0053D060	?Init@aiRouteRacer@@QAEXHPAD@Z	816	1	aiRouteRacer	Init
0053D390	?Reset@aiRouteRacer@@QAEXXZ	32	1	aiRouteRacer	Reset
0053D3B0	?Update@aiRouteRacer@@QAEXXZ	256	1	aiRouteRacer	Update
0053D4B0	?DriveRoute@aiRouteRacer@@AAEXXZ	512	1	aiRouteRacer	DriveRoute
0053D6B0	?Disabled@aiRouteRacer@@AAEXXZ	48	1	aiRouteRacer	Disabled
0053D6E0	?Finished@aiRouteRacer@@QAEHXZ	544	1	aiRouteRacer	Finished
0053D900	?DrawRouteThroughTraffic@aiRouteRacer@@QAEXXZ	16	1	aiRouteRacer	DrawRouteThroughTraffic
0053D910	??0aiPoliceOfficer@@QAE@XZ	16	1	aiPoliceOfficer	aiPoliceOfficer
0053D920	??1aiPoliceOfficer@@QAE@XZ	16	1	aiPoliceOfficer	~aiPoliceOfficer
0053D930	?Init@aiPoliceOfficer@@QAEXH@Z	368	1	aiPoliceOfficer	Init
0053DAA0	?Reset@aiPoliceOfficer@@QAEXXZ	336	1	aiPoliceOfficer	Reset
0053DBF0	?StartSiren@aiPoliceOfficer@@QAEXXZ	80	1	aiPoliceOfficer	StartSiren
0053DC40	?StopSiren@aiPoliceOfficer@@QAEXXZ	48	1	aiPoliceOfficer	StopSiren
0053DC70	?Update@aiPoliceOfficer@@QAEXXZ	864	1	aiPoliceOfficer	Update
0053DFD0	?DetectPerpetrator@aiPoliceOfficer@@AAEXXZ	720	1	aiPoliceOfficer	DetectPerpetrator
0053E2A0	?Fov@aiPoliceOfficer@@AAEHPAVvehCar@@@Z	192	1	aiPoliceOfficer	Fov
0053E360	?Speeding@aiPoliceOfficer@@AAEHPAVvehCar@@@Z	16	1	aiPoliceOfficer	Speeding
0053E370	?Collision@aiPoliceOfficer@@AAEHPAVvehCar@@@Z	32	1	aiPoliceOfficer	Collision
0053E390	?HitMe@aiPoliceOfficer@@AAEHPAVvehCar@@@Z	32	1	aiPoliceOfficer	HitMe
0053E3B0	?Stopped@aiPoliceOfficer@@AAEHPAVvehCar@@@Z	48	1	aiPoliceOfficer	Stopped
