# instruction bytes -> MASM text, verified byte-identical by tools/verify_encodings.py.
# Regenerate with: py tools/verify_encodings.py --table data/encodings.tsv
cc	int 3
c21000	ret 10h
d9fa	fsqrt
ffd7	call edi
8b4510	mov eax, dword ptr [ebp + 10h]
8b5d14	mov ebx, dword ptr [ebp + 14h]
8b7508	mov esi, dword ptr [ebp + 8]
8d7801	lea edi, [eax + 1]
ffd3	call ebx
03f1	add esi, ecx
81ec0c020000	sub esp, 20Ch
32c0	xor al, al
8945fc	mov dword ptr [ebp - 4], eax
8d95f4fdffff	lea edx, [ebp - 20Ch]
8bfa	mov edi, edx
8d95f8feffff	lea edx, [ebp - 108h]
8d8df8feffff	lea ecx, [ebp - 108h]
40	inc eax
23c2	and eax, edx
8d85f4fdffff	lea eax, [ebp - 20Ch]
ff55fc	call dword ptr [ebp - 4]
0f95c0	setne al
83ec30	sub esp, 30h
85ff	test edi, edi
680a008040	push 4080000Ah
ffd6	call esi
6a1b	push 1Bh
6a20	push 20h
6aec	push -14h
0c80	or al, 80h
6a08	push 8
8b4df8	mov ecx, dword ptr [ebp - 8]
8b45f0	mov eax, dword ptr [ebp - 10h]
8b7df4	mov edi, dword ptr [ebp - 0Ch]
2bd0	sub edx, eax
8bd7	mov edx, edi
2b55ec	sub edx, dword ptr [ebp - 14h]
03c3	add eax, ebx
99	cdq
2bc2	sub eax, edx
d1f8	sar eax, 1
2bc7	sub eax, edi
6a05	push 5
6806080000	push 806h
686a040000	push 46Ah
3d0d020000	cmp eax, 20Dh
8d45d0	lea eax, [ebp - 30h]
8d4dd0	lea ecx, [ebp - 30h]
a802	test al, 2
3d11020000	cmp eax, 211h
6809080000	push 809h
6855080000	push 855h
6685c0	test ax, ax
6808080000	push 808h
8b7dfc	mov edi, dword ptr [ebp - 4]
8bf1	mov esi, ecx
8d4e18	lea ecx, [esi + 18h]
8b4e10	mov ecx, dword ptr [esi + 10h]
b301	mov bl, 1
80cd04	or ch, 4
885dfc	mov byte ptr [ebp - 4], bl
894e10	mov dword ptr [esi + 10h], ecx
8945ec	mov dword ptr [ebp - 14h], eax
3bc7	cmp eax, edi
c645fc02	mov byte ptr [ebp - 4], 2
c645fc03	mov byte ptr [ebp - 4], 3
89bea4010000	mov dword ptr [esi + 1A4h], edi
89be8c010000	mov dword ptr [esi + 18Ch], edi
89bea0010000	mov dword ptr [esi + 1A0h], edi
89bea8010000	mov dword ptr [esi + 1A8h], edi
89be98010000	mov dword ptr [esi + 198h], edi
89be9c010000	mov dword ptr [esi + 19Ch], edi
89beac010000	mov dword ptr [esi + 1ACh], edi
89beb0010000	mov dword ptr [esi + 1B0h], edi
89be90010000	mov dword ptr [esi + 190h], edi
89be94010000	mov dword ptr [esi + 194h], edi
83f802	cmp eax, 2
83f804	cmp eax, 4
6808b20000	push 0B208h
c645fc09	mov byte ptr [ebp - 4], 9
8986a0010000	mov dword ptr [esi + 1A0h], eax
c645fc0a	mov byte ptr [ebp - 4], 0Ah
8986a4010000	mov dword ptr [esi + 1A4h], eax
68a8b20000	push 0B2A8h
c645fc0b	mov byte ptr [ebp - 4], 0Bh
8986a8010000	mov dword ptr [esi + 1A8h], eax
c645fc0c	mov byte ptr [ebp - 4], 0Ch
8986ac010000	mov dword ptr [esi + 1ACh], eax
6818b20000	push 0B218h
c645fc0d	mov byte ptr [ebp - 4], 0Dh
8986b0010000	mov dword ptr [esi + 1B0h], eax
68f0760000	push 76F0h
c645fc0e	mov byte ptr [ebp - 4], 0Eh
89868c010000	mov dword ptr [esi + 18Ch], eax
898688010000	mov dword ptr [esi + 188h], eax
ff5234	call dword ptr [edx + 34h]
83f806	cmp eax, 6
c645fc04	mov byte ptr [ebp - 4], 4
898690010000	mov dword ptr [esi + 190h], eax
c645fc05	mov byte ptr [ebp - 4], 5
6820770000	push 7720h
c645fc06	mov byte ptr [ebp - 4], 6
898698010000	mov dword ptr [esi + 198h], eax
6810770000	push 7710h
c645fc07	mov byte ptr [ebp - 4], 7
89869c010000	mov dword ptr [esi + 19Ch], eax
6870790000	push 7970h
c645fc08	mov byte ptr [ebp - 4], 8
898694010000	mov dword ptr [esi + 194h], eax
8b8e88010000	mov ecx, dword ptr [esi + 188h]
ff5034	call dword ptr [eax + 34h]
c781b401000000000000	mov dword ptr [ecx + 1B4h], 0
8b8ea4010000	mov ecx, dword ptr [esi + 1A4h]
3bcb	cmp ecx, ebx
8b8e8c010000	mov ecx, dword ptr [esi + 18Ch]
8b8ea0010000	mov ecx, dword ptr [esi + 1A0h]
